2016-09-30 15:13:52,615 p=21431 u=root |   [WARNING]: Host file not found: local
2016-10-02 18:41:27,297 p=46467 u=root |  changed: [localhost]
2016-10-02 18:41:27,305 p=46467 u=root |  TASK [Build helloapp] **********************************************************
2016-10-02 18:41:30,680 p=46467 u=root |  changed: [localhost]
2016-10-02 18:41:30,689 p=46467 u=root |  TASK [Build image for gonginx] *************************************************
2016-10-02 18:41:31,009 p=46467 u=root |  changed: [localhost]
2016-10-02 18:41:31,016 p=46467 u=root |  TASK [Build image for godeploy] ************************************************
2016-10-02 18:41:31,298 p=46467 u=root |  changed: [localhost]
2016-10-02 18:41:31,306 p=46467 u=root |  PLAY RECAP *********************************************************************
2016-10-02 18:41:31,306 p=46467 u=root |  localhost                  : ok=5    changed=4    unreachable=0    failed=0   
2016-10-02 18:59:16,816 p=48131 u=root |  PLAY [local] *******************************************************************
2016-10-02 18:59:16,889 p=48131 u=root |  TASK [setup] *******************************************************************
2016-10-02 18:59:17,521 p=48131 u=root |  ok: [localhost]
2016-10-02 18:59:17,530 p=48131 u=root |  TASK [Build image for gobuild] *************************************************
2016-10-02 18:59:32,799 p=48131 u=root |  changed: [localhost]
2016-10-02 18:59:32,808 p=48131 u=root |  TASK [Build helloapp] **********************************************************
2016-10-02 18:59:36,283 p=48131 u=root |  changed: [localhost]
2016-10-02 18:59:36,291 p=48131 u=root |  TASK [Build image for gonginx] *************************************************
2016-10-02 19:00:07,111 p=48131 u=root |  changed: [localhost]
2016-10-02 19:00:07,119 p=48131 u=root |  TASK [Build image for godeploy] ************************************************
2016-10-02 19:00:12,332 p=48131 u=root |  changed: [localhost]
2016-10-02 19:00:12,340 p=48131 u=root |  PLAY RECAP *********************************************************************
2016-10-02 19:00:12,340 p=48131 u=root |  localhost                  : ok=5    changed=4    unreachable=0    failed=0   
2016-10-02 19:07:06,902 p=50745 u=root |  PLAY [local] *******************************************************************
2016-10-02 19:07:06,986 p=50745 u=root |  TASK [setup] *******************************************************************
2016-10-02 19:07:07,672 p=50745 u=root |  ok: [localhost]
2016-10-02 19:07:07,681 p=50745 u=root |  TASK [Build image for gobuild] *************************************************
2016-10-02 19:07:21,056 p=50745 u=root |  changed: [localhost]
2016-10-02 19:07:21,064 p=50745 u=root |  TASK [Build helloapp] **********************************************************
2016-10-02 19:07:24,532 p=50745 u=root |  changed: [localhost]
2016-10-02 19:07:24,540 p=50745 u=root |  TASK [Build image for gonginx] *************************************************
2016-10-02 19:07:24,879 p=50745 u=root |  changed: [localhost]
2016-10-02 19:07:24,887 p=50745 u=root |  TASK [Build image for godeploy] ************************************************
2016-10-02 19:07:29,345 p=50745 u=root |  changed: [localhost]
2016-10-02 19:07:29,353 p=50745 u=root |  PLAY RECAP *********************************************************************
2016-10-02 19:07:29,353 p=50745 u=root |  localhost                  : ok=5    changed=4    unreachable=0    failed=0   
2016-10-02 19:20:52,627 p=55653 u=root |  PLAY [local] *******************************************************************
2016-10-02 19:20:52,717 p=55653 u=root |  TASK [setup] *******************************************************************
2016-10-02 19:20:53,374 p=55653 u=root |  ok: [localhost]
2016-10-02 19:20:53,383 p=55653 u=root |  TASK [Build image for gobuild] *************************************************
2016-10-02 19:20:53,701 p=55653 u=root |  changed: [localhost]
2016-10-02 19:20:53,709 p=55653 u=root |  TASK [Build helloapp] **********************************************************
2016-10-02 19:20:57,204 p=55653 u=root |  changed: [localhost]
2016-10-02 19:20:57,212 p=55653 u=root |  TASK [Build image for gonginx] *************************************************
2016-10-02 19:21:25,644 p=55653 u=root |  changed: [localhost]
2016-10-02 19:21:25,652 p=55653 u=root |  TASK [Build image for godeploy] ************************************************
2016-10-02 19:21:26,055 p=55653 u=root |  changed: [localhost]
2016-10-02 19:21:26,062 p=55653 u=root |  PLAY RECAP *********************************************************************
2016-10-02 19:21:26,062 p=55653 u=root |  localhost                  : ok=5    changed=4    unreachable=0    failed=0   
